Start;Duration
237.707706;0.935
239.158661;0.836
238.83943299999999;0.888
239.08503;0.929
238.160265;1.868
238.471504;1.571
3075.783142;1.959
3215.5744600000003;3.162
3424.857256;0.943
3529.049404;1.536
3627.173543;1.284
3728.719204;1.359
3930.059794;2.5
4126.350149999999;2.587
4311.899393;2.638
4500.174933;3.061
4706.217477;2.999
4889.416184000001;2.861
5071.471238;3.023
5252.875901;2.79
5444.100461999999;2.854
5626.747953;2.687
5838.440533999999;2.697
6040.972841;3.457
6242.824014000001;3.155
6426.81726;2.813
6603.250878999999;2.832
6801.766233;3.004
6981.401743;3.045
7154.899251;2.901
7332.030097;3.004
7511.196561;3.048
7688.721742;3.567
7898.04263;3.05
8078.151546;3.478
8253.160312;3.002
8436.530957;3.041
8614.112541;3.407
8817.60849;3.587
8998.041528;3.573
9173.19976;3.437
9348.636362;3.1
9530.77645;3.358
9705.076172;3.209
9909.765028;3.155
10266.138019;1.493
10442.971470999999;2.432
10616.365254999999;2.903
10814.342233000001;2.122
